date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-19,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-19,California,State,Other,512.0,42.35,280.42857142857,40.878800499792
2021-01-19,California,State,Alpha,19.0,1.57,11.85714285714,1.728446480633
2021-01-19,California,State,Gamma,0.0,0.0,0.14285714285,0.020824656393
2021-01-19,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-19,California,State,Epsilon,674.0,55.75,392.0,57.142857142857
2021-01-19,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-19,California,State,Omicron,3.0,0.25,0.71428571428,0.104123281966
2021-01-20,California,State,Omicron,1.0,0.4,0.57142857142,0.08938547486
2021-01-20,California,State,Other,76.0,30.65,258.71428571428,40.469273743017
2021-01-20,California,State,Alpha,15.0,6.05,12.71428571428,1.988826815642
2021-01-20,California,State,Epsilon,154.0,62.1,366.14285714285,57.27374301676
2021-01-20,California,State,Total,248.0,100.0,639.28571428571,100.0
2021-01-20,California,State,Gamma,1.0,0.4,0.28571428571,0.04469273743
2021-01-20,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-20,California,State,Delta,1.0,0.4,0.85714285714,0.134078212291
2021-01-20,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-20,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-21,California,State,Gamma,0.0,0.0,0.28571428571,0.05136106831
2021-01-21,California,State,Total,90.0,100.0,556.28571428571,100.0
2021-01-21,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-21,California,State,Delta,1.0,1.11,1.0,0.179763739086
2021-01-21,California,State,Other,18.0,20.0,227.85714285714,40.960451977401
2021-01-21,California,State,Alpha,27.0,30.0,14.57142857142,2.619414483821
2021-01-21,California,State,Epsilon,44.0,48.89,312.0,56.086286594761
2021-01-21,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-21,California,State,Omicron,0.0,0.0,0.57142857142,0.10272213662
2021-01-21,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-22,California,State,Delta,1.0,2.04,0.85714285714,0.177514792899
2021-01-22,California,State,Total,49.0,100.0,482.85714285714,100.0
2021-01-22,California,State,Omicron,0.0,0.0,0.57142857142,0.118343195266
